model,input_tokens,output_tokens,cost_usd,timestamp
qwen3-coder:30b-a3b-q4_K_M,700,300,0.0015,2026-05-11T18:04:56.139160+00:00
qwen3-coder:30b-a3b-q4_K_M,1400,600,0.002,2026-05-11T18:05:35.097944+00:00
qwen3-coder:30b-a3b-q4_K_M,1400,600,0.002,2026-05-11T18:21:17.152518+00:00
qwen3-coder:30b-a3b-q4_K_M,1400,600,0.002,2026-05-11T18:21:36.880919+00:00
qwen3-coder:30b-a3b-q4_K_M,70,30,0.0,2026-05-11T19:57:17.759780+00:00
MiniMax-M2.7-highspeed,1288,552,0.000276,2026-05-15T07:32:23.931639+00:00
deepseek-chat,48,21,0.0,2026-05-15T08:31:38.727200+00:00
deepseek-chat,595,255,0.0,2026-05-15T08:44:02+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,56,24,0.0,2026-05-15T20:42:55.653563+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,69,30,0.0,2026-05-15T20:43:13.925090+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,57,25,0.0,2026-05-15T20:43:16.258015+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,721,310,0.0,2026-05-15T20:45:37.536012+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,65,29,0.0,2026-05-15T20:48:07.209576+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,826,355,0.0,2026-05-15T20:51:49.543506+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,821,353,0.0,2026-05-15T21:05:00.342619+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,616,264,0.0,2026-05-15T21:05:13.366518+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,686,295,0.0,2026-05-15T21:51:58.448340+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,556,239,0.0,2026-05-15T22:17:15.661897+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,618,266,0.0,2026-05-15T22:23:28.835383+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,976,419,0.0,2026-05-15T22:29:39.304883+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,700,301,0.0,2026-05-15T22:36:51.911300+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,809,348,0.0,2026-05-15T22:37:30.442224+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,541,233,0.0,2026-05-15T22:37:38.409145+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,738,317,0.0,2026-05-15T22:50:07.734438+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,720,309,0.0,2026-05-15T22:55:42.591510+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,697,300,0.0,2026-05-15T22:56:08.897232+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,912,392,0.0,2026-05-15T22:58:19.892927+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,595,255,0.0,2026-05-15T23:02:39.845828+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,976,419,0.0,2026-05-15T23:18:45.614299+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,473,203,0.0,2026-05-15T23:18:47.830778+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,912,392,0.0,2026-05-15T23:51:04.370819+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,866,372,0.0,2026-05-15T23:51:58.210336+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,658,282,0.0,2026-05-16T00:02:05.501596+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,613,263,0.0,2026-05-16T00:02:29.713064+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,1062,456,0.0,2026-05-16T00:10:42.763834+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,719,309,0.0,2026-05-16T00:30:47.584586+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,725,312,0.0,2026-05-16T00:52:27.768425+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,951,409,0.0,2026-05-16T01:03:47.693989+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,632,271,0.0,2026-05-16T01:15:58.019658+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,531,228,0.0,2026-05-16T01:21:53.403777+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,641,276,0.0,2026-05-16T01:26:18.310923+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,1752,752,0.0,2026-05-16T01:27:20.064288+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,609,262,0.0,2026-05-16T01:28:36.552981+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,842,361,0.0,2026-05-16T01:34:05.158620+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,690,296,0.0,2026-05-16T01:50:38.730403+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,669,288,0.0,2026-05-16T01:53:43.552921+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,586,252,0.0,2026-05-16T02:21:11.296846+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,1067,458,0.0,2026-05-16T02:29:03.536798+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,581,249,0.0,2026-05-16T02:29:10.328416+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,912,392,0.0,2026-05-16T02:55:57.452490+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,872,374,0.0,2026-05-16T03:04:39.207921+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,592,254,0.0,2026-05-16T03:05:57.421090+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,718,309,0.0,2026-05-16T03:18:14.230591+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,865,371,0.0,2026-05-16T03:32:43.234972+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,679,291,0.0,2026-05-16T03:32:51.853629+00:00
MiniMax-M2.7-highspeed,133,57,0.000249,2026-05-16T03:34:51.637486+00:00
llama-3.3-70b-versatile,35,16,0.0,2026-05-16T03:36:13.691507+00:00
deepseek-chat,13,6,0.0,2026-05-16T03:36:43.584707+00:00
deepseek-chat,207,89,0.0,2026-05-16T03:37:02.695972+00:00
MiniMax-M2.7-highspeed,522,224,0.001511,2026-05-16T03:37:14.197083+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,702,301,0.0,2026-05-16T03:39:31.498500+00:00
llama-3.3-70b-versatile,175,75,0.0,2026-05-16T03:39:32.095577+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,724,311,0.0,2026-05-16T03:40:09.740235+00:00
MiniMax-M2.7-highspeed,340,146,0.000605,2026-05-16T03:40:15.045723+00:00
deepseek-chat,344,148,0.0,2026-05-16T03:40:21.380720+00:00
deepseek-chat,336,145,0.0,2026-05-16T03:46:12.826783+00:00
MiniMax-M2.7-highspeed,2700,1158,0.006057,2026-05-16T03:47:30.252958+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,914,393,0.0,2026-05-16T03:54:12.479068+00:00
deepseek-chat,218,94,0.0,2026-05-16T03:56:06.096335+00:00
MiniMax-M2.7-highspeed,343,148,0.000874,2026-05-16T03:56:13.825723+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,604,259,0.0,2026-05-16T03:57:59.010528+00:00
llama-3.3-70b-versatile,175,76,0.0,2026-05-16T03:57:59.619349+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,896,384,0.0,2026-05-16T04:02:04.989440+00:00
nvidia/nemotron-3-super-120b-a12b-20230311:free,469,202,0.0,2026-05-16T04:02:10.274700+00:00
